DATE,ICJ
06/10/2008,27.940000
06/11/2008,29.080000
06/12/2008,28.550000
06/13/2008,28.220000
06/17/2008,25.870000
06/18/2008,25.760000
06/19/2008,25.810000
06/20/2008,25.920000
06/23/2008,24.690000
06/24/2008,24.690000
06/25/2008,25.480000
06/26/2008,24.060000
06/27/2008,25.250000
06/30/2008,24.570000
07/01/2008,24.570000
07/02/2008,24.240000
07/03/2008,24.740000
07/07/2008,25.330000
07/08/2008,25.330000
07/10/2008,24.050000
07/11/2008,24.050000
07/15/2008,25.360000
07/16/2008,25.360000
07/17/2008,25.210000
07/18/2008,23.540000
07/22/2008,23.560000
07/23/2008,23.560000
07/24/2008,23.940000
07/25/2008,24.500000
07/28/2008,24.620000
07/29/2008,24.620000
07/30/2008,22.770000
07/31/2008,21.400000
08/01/2008,23.010000
08/04/2008,24.100000
08/05/2008,24.100000
08/06/2008,23.450000
08/07/2008,23.230000
10/17/2008,23.230000
07/24/2009,60.750000
07/27/2009,58.800000
07/28/2009,62.460000
07/29/2009,62.050000
07/30/2009,62.580000
07/31/2009,64.690000
08/03/2009,61.020000
08/04/2009,59.530000
08/05/2009,57.420000
08/06/2009,58.890000
08/07/2009,56.820000
08/10/2009,57.250000
08/11/2009,59.720000
08/12/2009,59.280000
08/13/2009,57.410000
08/14/2009,57.060000
08/17/2009,62.690000
08/18/2009,60.510000
08/19/2009,60.650000
08/20/2009,59.720000
08/21/2009,60.280000
08/24/2009,62.300000
08/25/2009,63.380000
08/26/2009,64.670000
08/27/2009,63.370000
08/28/2009,62.610000
08/31/2009,62.980000
09/01/2009,64.020000
09/02/2009,62.580000
09/03/2009,57.430000
09/04/2009,56.550000
09/08/2009,55.520000
09/09/2009,54.040000
09/10/2009,53.920000
09/11/2009,55.650000
09/14/2009,54.980000
09/15/2009,54.340000
09/16/2009,52.920000
09/17/2009,53.300000
09/18/2009,56.140000
09/21/2009,57.190000
09/22/2009,55.800000
09/23/2009,56.610000
09/24/2009,60.010000
09/25/2009,58.710000
09/28/2009,56.700000
09/29/2009,58.110000
09/30/2009,56.960000
10/01/2009,54.230000
10/02/2009,61.990000
10/05/2009,56.940000
10/06/2009,55.550000
10/07/2009,54.510000
10/08/2009,53.460000
10/09/2009,51.930000
10/12/2009,51.860000
10/13/2009,52.990000
10/14/2009,53.300000
10/15/2009,52.100000
10/16/2009,56.980000
10/19/2009,57.720000
10/20/2009,56.370000
10/21/2009,57.140000
10/22/2009,53.300000
10/23/2009,54.070000
10/26/2009,56.910000
10/27/2009,56.730000
10/28/2009,62.400000
10/29/2009,55.680000
10/30/2009,64.950000
11/02/2009,62.280000
11/03/2009,60.440000
11/04/2009,59.920000
11/05/2009,56.390000
11/06/2009,52.750000
11/09/2009,50.680000
11/10/2009,49.680000
11/11/2009,51.460000
11/12/2009,56.510000
11/13/2009,53.890000
11/16/2009,52.960000
11/17/2009,51.790000
11/18/2009,48.980000
11/19/2009,49.140000
11/20/2009,46.860000
11/23/2009,46.860000
11/22/2010,68.880000
11/23/2010,70.520000
11/24/2010,70.630000
11/26/2010,72.980000
11/29/2010,70.550000
11/30/2010,72.420000
12/01/2010,70.510000
12/02/2010,67.160000
12/03/2010,66.500000
12/06/2010,66.320000
12/07/2010,65.730000
12/08/2010,64.970000
12/09/2010,62.680000
12/10/2010,62.290000
12/13/2010,62.260000
12/14/2010,62.190000
12/15/2010,63.910000
12/16/2010,65.940000
12/17/2010,65.160000
12/20/2010,65.550000
12/21/2010,65.810000
12/22/2010,66.100000
12/23/2010,67.650000
12/27/2010,68.380000
12/28/2010,67.600000
12/29/2010,68.200000
12/30/2010,68.550000
12/31/2010,67.180000
01/03/2011,67.610000
01/04/2011,69.150000
01/05/2011,67.580000
01/06/2011,63.460000
01/07/2011,62.810000
01/10/2011,61.870000
01/11/2011,61.560000
01/12/2011,60.940000
01/13/2011,61.440000
01/14/2011,61.330000
01/18/2011,61.830000
01/19/2011,63.900000
01/20/2011,63.250000
01/21/2011,66.150000
01/24/2011,64.630000
01/25/2011,63.520000
01/26/2011,61.840000
01/27/2011,61.110000
01/28/2011,63.910000
01/31/2011,59.510000
02/01/2011,59.880000
02/02/2011,60.670000
02/03/2011,60.360000
02/04/2011,59.410000
02/07/2011,59.250000
02/08/2011,58.640000
02/09/2011,58.520000
02/10/2011,58.710000
02/11/2011,57.410000
02/14/2011,58.730000
02/15/2011,59.840000
02/16/2011,57.990000
02/17/2011,60.190000
02/18/2011,61.430000
02/22/2011,61.230000
02/23/2011,62.100000
02/24/2011,60.700000
02/25/2011,57.910000
02/28/2011,58.250000
03/01/2011,62.540000
03/02/2011,60.170000
03/03/2011,60.480000
03/04/2011,60.500000
03/07/2011,63.440000
03/08/2011,65.510000
03/09/2011,67.720000
03/10/2011,65.360000
03/11/2011,64.240000
03/14/2011,64.160000
03/15/2011,64.930000
03/16/2011,69.180000
03/17/2011,61.260000
03/18/2011,61.270000
03/21/2011,63.670000
03/22/2011,64.980000
03/23/2011,64.510000
03/24/2011,61.260000
03/25/2011,59.690000
03/28/2011,63.120000
03/29/2011,59.460000
03/30/2011,59.970000
03/31/2011,60.870000
04/01/2011,61.840000
04/04/2011,61.620000
04/05/2011,57.780000
04/06/2011,57.900000
04/07/2011,59.330000
04/08/2011,60.800000
04/11/2011,61.400000
04/12/2011,63.290000
04/13/2011,62.710000
04/14/2011,61.570000
04/15/2011,62.010000
04/18/2011,61.220000
04/19/2011,60.690000
04/20/2011,59.150000
04/21/2011,62.470000
04/25/2011,61.020000
04/26/2011,61.360000
04/27/2011,62.810000
04/28/2011,63.680000
04/29/2011,63.610000
05/02/2011,62.340000
05/03/2011,62.500000
05/04/2011,64.950000
05/05/2011,61.130000
05/06/2011,61.240000
05/09/2011,61.180000
05/10/2011,55.530000
05/11/2011,61.750000
05/12/2011,61.660000
05/13/2011,62.210000
05/16/2011,65.660000
05/17/2011,62.670000
05/18/2011,62.920000
05/19/2011,62.810000
05/20/2011,64.250000
05/23/2011,64.760000
05/24/2011,66.350000
05/25/2011,65.710000
05/26/2011,61.460000
05/27/2011,61.300000
05/31/2011,60.240000
06/01/2011,62.570000
06/02/2011,62.560000
06/03/2011,61.470000
06/06/2011,60.120000
06/07/2011,59.810000
06/08/2011,62.550000
06/09/2011,60.860000
06/10/2011,63.020000
06/13/2011,64.320000
06/14/2011,62.810000
06/15/2011,63.790000
06/16/2011,65.720000
06/17/2011,66.850000
06/20/2011,64.560000
06/21/2011,64.470000
06/22/2011,66.860000
06/23/2011,66.610000
06/24/2011,66.070000
06/27/2011,66.260000
06/28/2011,66.550000
06/29/2011,64.140000
06/30/2011,64.260000
07/01/2011,63.550000
07/05/2011,64.090000
07/06/2011,62.300000
07/07/2011,62.270000
07/08/2011,63.290000
07/11/2011,65.330000
07/12/2011,68.360000
07/13/2011,68.670000
07/14/2011,69.820000
07/15/2011,65.770000
07/18/2011,66.130000
07/19/2011,65.630000
07/20/2011,65.470000
07/21/2011,61.630000
07/22/2011,62.790000
07/25/2011,68.480000
07/26/2011,68.710000
07/27/2011,68.170000
07/28/2011,67.500000
07/29/2011,63.460000
08/01/2011,62.810000
08/02/2011,66.040000
08/03/2011,67.310000
08/04/2011,72.010000
08/05/2011,69.020000
08/08/2011,68.110000
08/09/2011,63.230000
08/10/2011,65.540000
08/11/2011,63.200000
08/12/2011,66.360000
08/15/2011,65.900000
08/16/2011,67.620000
08/17/2011,68.170000
08/18/2011,70.290000
08/19/2011,70.750000
08/22/2011,71.940000
08/23/2011,68.000000
08/24/2011,69.420000
08/25/2011,69.910000
08/26/2011,70.140000
08/29/2011,70.820000
08/30/2011,72.090000
08/31/2011,69.070000
09/01/2011,72.340000
09/02/2011,71.560000
09/06/2011,70.090000
09/07/2011,69.100000
09/08/2011,70.010000
09/09/2011,70.230000
09/12/2011,70.680000
09/13/2011,70.780000
09/14/2011,72.270000
09/15/2011,71.820000
09/16/2011,73.230000
09/19/2011,73.510000
09/20/2011,73.530000
09/21/2011,76.920000
09/22/2011,76.190000
09/23/2011,74.830000
09/26/2011,75.080000
09/27/2011,74.390000
09/28/2011,77.410000
09/29/2011,74.540000
09/30/2011,78.550000
10/03/2011,78.530000
10/04/2011,73.170000
10/05/2011,73.670000
10/06/2011,74.610000
10/07/2011,75.590000
10/10/2011,74.140000
10/11/2011,74.310000
10/12/2011,74.330000
10/13/2011,73.440000
10/14/2011,71.550000
10/17/2011,74.220000
10/18/2011,75.010000
10/19/2011,78.250000
10/20/2011,78.300000
10/21/2011,75.890000
10/24/2011,76.210000
10/25/2011,77.440000
10/26/2011,75.670000
10/27/2011,72.010000
10/28/2011,71.000000
10/31/2011,77.150000
11/01/2011,78.660000
11/02/2011,78.790000
11/03/2011,77.140000
11/04/2011,78.050000
11/07/2011,77.060000
11/08/2011,76.400000
11/09/2011,81.170000
11/10/2011,78.080000
11/11/2011,75.450000
11/14/2011,76.890000
11/15/2011,77.300000
11/16/2011,80.180000
11/17/2011,80.440000
11/18/2011,80.500000
11/21/2011,81.800000
11/22/2011,81.120000
11/23/2011,82.350000
11/25/2011,82.500000
11/28/2011,79.850000
11/29/2011,79.050000
11/30/2011,77.220000
12/01/2011,76.770000
12/02/2011,77.880000
12/05/2011,78.060000
12/06/2011,81.370000
12/07/2011,80.270000
12/08/2011,82.100000
12/09/2011,78.930000
12/12/2011,80.490000
12/13/2011,83.070000
12/14/2011,83.280000
12/15/2011,83.470000
12/16/2011,83.940000
12/19/2011,82.950000
12/20/2011,79.360000
12/21/2011,77.340000
12/22/2011,78.330000
12/23/2011,80.610000
12/27/2011,79.310000
12/28/2011,80.420000
12/29/2011,79.260000
12/30/2011,78.400000
01/03/2012,78.730000
01/04/2012,75.730000
01/05/2012,75.030000
01/06/2012,75.050000
01/09/2012,76.460000
01/10/2012,75.970000
01/11/2012,76.650000
01/12/2012,76.760000
01/13/2012,76.580000
01/17/2012,78.750000
01/18/2012,77.240000
01/19/2012,76.500000
01/20/2012,76.290000
01/23/2012,75.820000
01/24/2012,76.440000
01/25/2012,75.340000
01/26/2012,74.740000
01/27/2012,73.790000
01/30/2012,74.490000
01/31/2012,75.530000
02/01/2012,74.790000
02/02/2012,72.330000
02/03/2012,70.880000
02/06/2012,71.140000
02/07/2012,71.730000
02/08/2012,73.080000
02/09/2012,73.850000
02/10/2012,73.150000
02/13/2012,71.510000
02/14/2012,72.170000
02/15/2012,73.330000
02/16/2012,70.120000
02/17/2012,71.350000
02/21/2012,71.960000
02/22/2012,72.740000
02/23/2012,70.730000
02/24/2012,71.390000
02/27/2012,72.260000
02/28/2012,72.030000
02/29/2012,72.770000
03/01/2012,69.560000
03/02/2012,70.670000
03/05/2012,71.330000
03/06/2012,73.610000
03/07/2012,72.170000
03/08/2012,70.090000
03/09/2012,68.990000
03/12/2012,68.680000
03/13/2012,66.650000
03/14/2012,67.560000
03/15/2012,67.310000
03/16/2012,68.340000
03/19/2012,66.910000
03/20/2012,66.200000
03/21/2012,65.360000
03/22/2012,64.060000
03/23/2012,62.360000
03/26/2012,58.260000
03/27/2012,62.340000
03/28/2012,60.970000
03/29/2012,61.150000
03/30/2012,61.090000
04/02/2012,62.320000
04/03/2012,61.390000
04/04/2012,63.360000
04/05/2012,64.350000
04/09/2012,66.640000
04/10/2012,68.140000
04/11/2012,68.540000
04/12/2012,62.070000
04/13/2012,66.170000
04/16/2012,67.380000
04/17/2012,64.410000
04/18/2012,65.420000
04/19/2012,66.160000
04/20/2012,66.000000
04/23/2012,69.650000
04/24/2012,67.640000
04/25/2012,63.910000
04/26/2012,62.890000
04/27/2012,63.000000
04/30/2012,63.940000
05/01/2012,64.170000
05/02/2012,64.360000
05/03/2012,65.190000
05/04/2012,68.050000
05/07/2012,66.700000
05/08/2012,66.370000
05/09/2012,67.090000
05/10/2012,66.020000
05/11/2012,68.980000
05/14/2012,70.170000
05/15/2012,70.050000
05/16/2012,69.600000
05/17/2012,70.740000
05/18/2012,72.560000
05/21/2012,70.130000
05/22/2012,71.750000
05/23/2012,69.990000
05/24/2012,66.910000
05/25/2012,68.520000
05/29/2012,66.600000
05/30/2012,71.250000
05/31/2012,70.790000
06/01/2012,73.320000
06/04/2012,72.670000
06/05/2012,71.280000
06/06/2012,69.260000
06/07/2012,71.050000
06/08/2012,68.450000
06/11/2012,74.250000
06/12/2012,71.860000
06/13/2012,74.970000
06/14/2012,70.070000
06/15/2012,70.320000
06/18/2012,67.310000
06/19/2012,69.570000
06/20/2012,67.580000
06/21/2012,72.330000
06/22/2012,69.180000
06/25/2012,71.590000
06/26/2012,68.750000
06/27/2012,68.640000
06/28/2012,68.370000
06/29/2012,64.050000
07/02/2012,64.680000
07/03/2012,63.510000
07/05/2012,67.610000
07/06/2012,66.010000
07/09/2012,66.610000
07/10/2012,68.090000
07/11/2012,66.340000
07/12/2012,67.510000
07/13/2012,65.400000
07/16/2012,66.130000
07/17/2012,63.970000
07/18/2012,65.950000
07/19/2012,64.390000
07/20/2012,67.400000
07/23/2012,70.030000
07/24/2012,72.200000
07/25/2012,70.590000
07/26/2012,64.550000
07/27/2012,66.840000
07/30/2012,69.200000
07/31/2012,70.760000
08/01/2012,69.650000
08/02/2012,66.170000
08/03/2012,64.310000
08/06/2012,65.120000
08/07/2012,65.230000
08/08/2012,64.060000
08/09/2012,63.140000
08/10/2012,64.140000
08/13/2012,61.690000
08/14/2012,63.120000
08/15/2012,65.180000
08/16/2012,61.980000
08/17/2012,60.330000
08/20/2012,60.440000
08/21/2012,61.290000
08/22/2012,60.100000
08/23/2012,62.200000
08/24/2012,58.710000
08/27/2012,61.720000
08/28/2012,60.910000
08/29/2012,63.260000
08/30/2012,62.410000
08/31/2012,60.900000
09/04/2012,58.240000
09/05/2012,58.360000
09/06/2012,54.070000
09/07/2012,52.370000
09/10/2012,56.820000
09/11/2012,57.110000
09/12/2012,54.130000
09/13/2012,50.970000
09/14/2012,53.160000
09/17/2012,52.940000
09/18/2012,50.060000
09/19/2012,49.290000
09/20/2012,48.780000
09/21/2012,50.850000
09/24/2012,48.480000
09/25/2012,52.150000
09/26/2012,54.870000
09/27/2012,47.090000
09/28/2012,48.830000
10/01/2012,50.040000
10/02/2012,49.150000
10/03/2012,47.640000
10/04/2012,45.780000
10/05/2012,45.420000
10/08/2012,46.090000
10/09/2012,50.720000
10/10/2012,49.580000
10/11/2012,47.420000
10/12/2012,49.260000
10/15/2012,46.180000
10/16/2012,46.950000
10/17/2012,45.230000
10/18/2012,43.750000
10/19/2012,49.310000
10/22/2012,47.200000
10/23/2012,55.200000
10/24/2012,54.540000
10/25/2012,52.780000
10/26/2012,52.280000
