DATE,JCJ
06/04/2008,31.040000
06/05/2008,29.060000
06/06/2008,30.890000
06/09/2008,32.690000
06/10/2008,32.150000
06/11/2008,33.590000
06/12/2008,33.440000
06/13/2008,29.200000
06/16/2008,29.280000
06/17/2008,27.260000
06/18/2008,27.330000
06/19/2008,30.990000
06/20/2008,31.710000
06/23/2008,31.380000
06/24/2008,27.590000
06/25/2008,31.560000
06/26/2008,30.950000
06/27/2008,25.460000
06/30/2008,25.800000
07/01/2008,26.270000
07/02/2008,26.270000
07/03/2008,27.030000
07/07/2008,25.840000
07/08/2008,25.840000
07/09/2008,25.840000
07/10/2008,25.710000
07/11/2008,27.820000
07/14/2008,27.820000
07/15/2008,28.110000
07/16/2008,26.700000
07/17/2008,26.000000
07/18/2008,27.380000
07/21/2008,27.380000
07/22/2008,25.610000
07/23/2008,26.510000
07/24/2008,26.510000
07/25/2008,26.510000
07/28/2008,27.290000
07/29/2008,26.630000
07/30/2008,25.550000
07/31/2008,27.560000
08/01/2008,27.720000
08/04/2008,30.100000
08/05/2008,27.150000
08/06/2008,27.640000
11/24/2008,62.060000
11/25/2008,62.070000
11/26/2008,62.330000
11/28/2008,66.810000
12/01/2008,64.730000
12/02/2008,63.710000
12/03/2008,66.170000
12/04/2008,68.720000
12/05/2008,69.120000
12/08/2008,72.000000
12/09/2008,70.910000
12/10/2008,69.240000
12/11/2008,67.230000
12/12/2008,65.960000
12/15/2008,68.030000
12/16/2008,65.600000
12/17/2008,66.950000
12/18/2008,64.610000
12/19/2008,66.320000
12/22/2008,67.510000
12/23/2008,67.660000
12/24/2008,68.990000
12/26/2008,69.420000
12/29/2008,67.860000
12/30/2008,68.010000
12/31/2008,68.390000
01/02/2009,66.520000
01/05/2009,65.870000
01/06/2009,65.690000
01/07/2009,65.350000
01/08/2009,64.280000
01/09/2009,65.280000
01/12/2009,68.880000
01/13/2009,66.630000
01/14/2009,65.000000
01/15/2009,65.590000
01/16/2009,66.440000
01/20/2009,70.970000
01/21/2009,66.380000
01/22/2009,67.840000
01/23/2009,66.620000
01/26/2009,66.790000
