DATE,KCJ
11/24/2009,66.450000
11/25/2009,66.110000
11/27/2009,68.250000
11/30/2009,67.620000
12/01/2009,66.690000
12/02/2009,66.070000
12/03/2009,67.600000
12/04/2009,66.690000
12/07/2009,66.110000
12/08/2009,66.440000
12/09/2009,66.560000
12/10/2009,67.000000
12/11/2009,65.160000
12/14/2009,64.660000
12/15/2009,65.210000
12/16/2009,64.130000
12/17/2009,64.550000
12/18/2009,64.180000
12/21/2009,64.730000
12/22/2009,63.770000
12/23/2009,63.990000
12/24/2009,63.420000
12/28/2009,62.780000
12/29/2009,64.040000
12/30/2009,64.260000
12/31/2009,65.730000
01/04/2010,63.940000
01/05/2010,63.750000
01/06/2010,63.240000
01/07/2010,60.610000
01/08/2010,59.070000
01/11/2010,60.620000
01/12/2010,58.570000
01/13/2010,58.360000
01/14/2010,57.550000
01/15/2010,61.600000
01/19/2010,61.150000
01/20/2010,62.520000
01/21/2010,63.850000
01/22/2010,65.430000
01/25/2010,65.440000
01/26/2010,65.100000
01/27/2010,64.170000
01/28/2010,63.480000
01/29/2010,65.120000
02/01/2010,62.090000
02/02/2010,62.130000
02/03/2010,61.310000
02/04/2010,65.260000
02/05/2010,64.540000
02/08/2010,65.870000
02/09/2010,66.590000
02/10/2010,66.010000
02/11/2010,64.440000
02/12/2010,63.770000
02/16/2010,63.660000
02/17/2010,63.770000
02/18/2010,62.660000
02/19/2010,62.810000
02/22/2010,62.460000
02/23/2010,62.220000
02/24/2010,63.120000
02/25/2010,62.380000
02/26/2010,62.260000
03/01/2010,62.460000
03/02/2010,62.060000
03/04/2010,62.640000
03/05/2010,61.340000
03/08/2010,61.600000
03/09/2010,61.710000
03/10/2010,62.740000
03/11/2010,62.790000
03/12/2010,62.200000
03/15/2010,63.490000
03/16/2010,63.310000
03/17/2010,62.160000
03/18/2010,62.900000
03/19/2010,64.370000
03/22/2010,64.980000
03/23/2010,65.090000
03/24/2010,65.770000
03/25/2010,67.040000
03/26/2010,65.390000
03/29/2010,64.420000
03/30/2010,64.590000
03/31/2010,65.850000
04/01/2010,65.830000
04/05/2010,61.860000
04/06/2010,61.610000
04/07/2010,62.730000
04/08/2010,61.130000
04/09/2010,61.680000
04/12/2010,61.680000
04/13/2010,64.280000
04/14/2010,62.540000
04/15/2010,62.900000
04/16/2010,64.470000
04/19/2010,64.560000
04/20/2010,63.260000
04/21/2010,63.740000
04/22/2010,61.820000
04/23/2010,60.060000
04/26/2010,59.330000
04/27/2010,59.330000
04/28/2010,61.260000
04/29/2010,60.050000
04/30/2010,62.460000
05/03/2010,59.960000
05/04/2010,60.910000
05/05/2010,63.710000
05/06/2010,63.140000
05/07/2010,66.930000
05/10/2010,62.450000
05/11/2010,62.160000
05/12/2010,60.400000
05/13/2010,60.850000
05/14/2010,62.400000
05/17/2010,63.450000
05/18/2010,66.130000
05/19/2010,68.240000
05/20/2010,76.970000
05/21/2010,75.520000
05/24/2010,73.000000
05/25/2010,69.030000
05/26/2010,72.820000
05/27/2010,69.760000
05/28/2010,69.820000
06/01/2010,70.200000
06/02/2010,66.760000
06/03/2010,65.350000
06/04/2010,68.600000
06/07/2010,70.120000
06/08/2010,69.680000
06/09/2010,70.570000
06/10/2010,70.390000
06/11/2010,69.770000
06/14/2010,69.520000
06/15/2010,65.310000
06/16/2010,66.580000
06/17/2010,66.310000
06/18/2010,67.000000
06/21/2010,67.910000
06/22/2010,70.260000
06/23/2010,70.370000
06/24/2010,71.620000
06/25/2010,70.780000
06/28/2010,71.950000
06/29/2010,75.400000
06/30/2010,75.250000
07/01/2010,70.430000
07/02/2010,70.650000
07/06/2010,72.240000
07/07/2010,72.300000
07/08/2010,71.200000
07/09/2010,70.840000
