DATE,VXTLT
01/02/2004,12.370000
01/05/2004,12.990000
01/06/2004,12.020000
01/07/2004,11.030000
01/08/2004,11.370000
01/09/2004,10.520000
01/12/2004,10.510000
01/13/2004,10.230000
01/14/2004,10.950000
01/15/2004,10.840000
01/16/2004,10.990000
01/20/2004,11.760000
01/21/2004,11.000000
01/22/2004,11.120000
01/23/2004,11.560000
01/26/2004,12.210000
01/27/2004,12.030000
01/28/2004,12.040000
01/29/2004,12.420000
01/30/2004,11.880000
02/02/2004,12.190000
02/03/2004,12.290000
02/04/2004,12.350000
02/05/2004,13.200000
02/06/2004,11.760000
02/09/2004,11.410000
02/10/2004,11.760000
02/11/2004,10.460000
02/12/2004,10.570000
02/13/2004,10.280000
02/17/2004,9.990000
02/18/2004,10.260000
02/19/2004,10.260000
02/20/2004,10.300000
02/23/2004,9.660000
02/24/2004,9.910000
02/25/2004,10.050000
02/26/2004,10.000000
02/27/2004,10.090000
03/01/2004,10.510000
03/02/2004,10.960000
03/03/2004,11.110000
03/04/2004,10.390000
03/05/2004,9.620000
03/08/2004,10.050000
03/09/2004,10.460000
03/10/2004,10.400000
03/11/2004,10.790000
03/12/2004,11.100000
03/15/2004,11.060000
03/16/2004,10.680000
03/17/2004,11.230000
03/18/2004,11.080000
03/19/2004,10.760000
03/22/2004,10.770000
03/23/2004,10.690000
03/24/2004,10.900000
03/25/2004,11.290000
03/26/2004,11.480000
03/29/2004,11.780000
03/30/2004,11.640000
03/31/2004,11.510000
04/01/2004,12.580000
04/02/2004,12.140000
04/05/2004,12.480000
04/06/2004,11.430000
04/07/2004,11.420000
04/08/2004,11.710000
04/12/2004,11.240000
04/13/2004,11.430000
04/14/2004,11.580000
04/15/2004,11.840000
04/16/2004,11.460000
04/19/2004,12.530000
04/20/2004,12.720000
04/21/2004,12.060000
04/22/2004,10.880000
04/23/2004,11.210000
04/26/2004,11.730000
04/27/2004,11.790000
04/28/2004,12.570000
04/29/2004,12.360000
04/30/2004,12.230000
05/03/2004,12.890000
05/04/2004,13.060000
05/05/2004,13.190000
05/06/2004,13.750000
05/07/2004,12.330000
05/10/2004,12.130000
05/11/2004,11.670000
05/12/2004,12.030000
05/13/2004,11.840000
05/14/2004,11.760000
05/17/2004,11.710000
05/18/2004,11.230000
05/19/2004,11.640000
05/20/2004,11.530000
05/21/2004,11.560000
05/24/2004,11.580000
05/25/2004,10.870000
05/26/2004,11.080000
05/27/2004,11.060000
05/28/2004,10.910000
06/01/2004,11.660000
06/02/2004,11.640000
06/03/2004,11.780000
06/04/2004,10.820000
06/07/2004,10.140000
06/08/2004,9.850000
06/09/2004,10.220000
06/10/2004,10.350000
06/14/2004,11.330000
06/15/2004,10.000000
06/16/2004,10.210000
06/17/2004,9.880000
06/18/2004,9.560000
06/21/2004,9.770000
06/22/2004,10.120000
06/23/2004,10.080000
06/24/2004,10.660000
06/25/2004,10.240000
06/28/2004,10.320000
06/29/2004,10.360000
06/30/2004,9.790000
07/01/2004,9.500000
07/02/2004,9.090000
07/06/2004,9.570000
07/07/2004,9.690000
07/08/2004,9.440000
07/09/2004,9.490000
07/12/2004,10.040000
07/13/2004,10.330000
07/14/2004,10.180000
07/15/2004,10.270000
07/16/2004,9.110000
07/19/2004,9.760000
07/20/2004,9.940000
07/21/2004,9.710000
07/22/2004,9.260000
07/23/2004,9.350000
07/26/2004,9.350000
07/27/2004,10.160000
07/28/2004,10.080000
07/29/2004,10.120000
07/30/2004,10.090000
08/02/2004,10.670000
08/03/2004,10.770000
08/04/2004,10.590000
08/05/2004,10.720000
08/06/2004,9.890000
08/09/2004,10.110000
08/10/2004,9.900000
08/11/2004,9.780000
08/12/2004,9.540000
08/13/2004,9.670000
08/16/2004,9.530000
08/17/2004,10.020000
08/18/2004,10.310000
08/19/2004,10.290000
08/20/2004,10.350000
08/23/2004,10.440000
08/24/2004,10.660000
08/25/2004,10.460000
08/26/2004,10.430000
08/27/2004,9.960000
08/30/2004,10.450000
08/31/2004,10.340000
09/01/2004,10.560000
09/02/2004,11.170000
09/03/2004,8.900000
09/07/2004,9.250000
09/08/2004,9.650000
09/09/2004,8.970000
09/10/2004,9.020000
09/13/2004,9.200000
09/14/2004,8.730000
09/15/2004,8.750000
09/16/2004,9.540000
09/17/2004,9.030000
09/20/2004,9.440000
09/21/2004,9.310000
09/22/2004,9.330000
09/23/2004,9.750000
09/24/2004,9.630000
09/27/2004,9.650000
09/28/2004,10.160000
09/29/2004,9.780000
09/30/2004,10.130000
10/01/2004,9.670000
10/04/2004,10.100000
10/05/2004,9.160000
10/06/2004,9.460000
10/07/2004,9.650000
10/08/2004,8.330000
10/11/2004,8.610000
10/12/2004,8.360000
10/13/2004,7.910000
10/14/2004,8.930000
10/15/2004,8.420000
10/18/2004,8.110000
10/19/2004,8.300000
10/20/2004,8.710000
10/21/2004,8.500000
10/22/2004,8.530000
10/25/2004,9.410000
10/26/2004,9.320000
10/27/2004,9.420000
10/28/2004,9.640000
10/29/2004,9.210000
11/01/2004,9.790000
11/02/2004,9.520000
11/03/2004,9.320000
11/04/2004,9.310000
11/05/2004,9.170000
11/08/2004,9.560000
11/09/2004,9.300000
11/10/2004,8.720000
11/11/2004,9.170000
11/12/2004,8.820000
11/15/2004,8.900000
11/16/2004,8.880000
11/17/2004,8.490000
11/18/2004,8.580000
11/19/2004,9.030000
11/22/2004,8.900000
11/23/2004,9.130000
11/24/2004,9.120000
11/26/2004,9.420000
11/29/2004,10.100000
11/30/2004,9.810000
12/01/2004,10.110000
12/02/2004,10.230000
12/03/2004,9.240000
12/06/2004,8.590000
12/07/2004,8.330000
12/08/2004,8.840000
12/09/2004,8.870000
12/10/2004,8.860000
12/13/2004,9.080000
12/14/2004,9.260000
12/15/2004,9.810000
12/16/2004,10.430000
12/17/2004,10.480000
12/20/2004,10.060000
12/21/2004,9.920000
12/22/2004,9.700000
12/23/2004,9.180000
12/27/2004,10.410000
12/28/2004,10.190000
12/29/2004,10.160000
12/30/2004,10.430000
12/31/2004,10.210000
01/03/2005,10.590000
01/04/2005,10.370000
01/05/2005,10.500000
01/06/2005,10.630000
01/07/2005,9.190000
01/10/2005,9.380000
01/11/2005,9.590000
01/12/2005,9.280000
01/13/2005,8.910000
01/14/2005,9.390000
01/18/2005,9.980000
01/19/2005,9.340000
01/20/2005,9.640000
01/21/2005,9.570000
01/24/2005,9.860000
01/25/2005,9.650000
01/26/2005,9.730000
01/27/2005,9.530000
01/28/2005,9.530000
01/31/2005,9.840000
02/01/2005,9.760000
02/02/2005,9.470000
02/03/2005,9.860000
02/04/2005,9.640000
02/07/2005,9.370000
02/08/2005,10.010000
02/09/2005,10.560000
02/10/2005,11.120000
02/11/2005,10.660000
02/14/2005,11.180000
02/15/2005,11.510000
02/16/2005,10.390000
02/17/2005,10.170000
02/18/2005,10.210000
02/22/2005,10.810000
02/23/2005,10.270000
02/24/2005,10.480000
02/25/2005,10.290000
02/28/2005,11.460000
03/01/2005,11.070000
03/02/2005,11.130000
03/03/2005,11.060000
03/04/2005,9.330000
03/07/2005,9.920000
03/08/2005,10.090000
03/09/2005,11.240000
03/10/2005,10.830000
03/11/2005,11.510000
03/14/2005,11.720000
03/15/2005,11.820000
03/16/2005,11.630000
03/17/2005,11.290000
03/18/2005,10.760000
03/21/2005,11.460000
03/22/2005,11.360000
03/23/2005,10.970000
03/24/2005,10.910000
03/28/2005,11.280000
03/29/2005,11.110000
03/30/2005,11.080000
03/31/2005,10.730000
04/01/2005,9.660000
04/04/2005,9.670000
04/05/2005,9.990000
04/06/2005,9.580000
04/07/2005,9.960000
04/08/2005,9.830000
04/11/2005,9.370000
04/12/2005,8.880000
04/13/2005,8.730000
04/14/2005,8.820000
04/15/2005,9.470000
04/18/2005,10.640000
04/19/2005,9.910000
04/20/2005,9.800000
04/21/2005,10.060000
04/22/2005,9.690000
04/25/2005,10.150000
04/26/2005,10.350000
04/27/2005,10.230000
04/28/2005,10.230000
04/29/2005,10.780000
05/02/2005,10.750000
05/03/2005,10.970000
05/04/2005,10.680000
05/05/2005,10.740000
05/06/2005,10.220000
05/09/2005,10.320000
05/10/2005,10.240000
05/11/2005,10.660000
05/12/2005,10.620000
05/13/2005,10.590000
05/16/2005,10.880000
05/17/2005,10.510000
05/18/2005,10.010000
05/19/2005,10.030000
05/20/2005,9.610000
05/23/2005,9.890000
05/24/2005,10.500000
05/25/2005,10.370000
05/26/2005,10.180000
05/27/2005,10.010000
05/31/2005,10.090000
06/01/2005,10.940000
06/02/2005,10.640000
06/06/2005,11.730000
06/07/2005,11.780000
06/08/2005,11.450000
06/09/2005,11.310000
06/10/2005,10.770000
06/13/2005,11.100000
06/14/2005,10.930000
06/15/2005,10.690000
06/16/2005,10.430000
06/17/2005,10.190000
06/20/2005,12.890000
06/21/2005,9.880000
06/23/2005,10.430000
06/24/2005,9.950000
06/27/2005,10.770000
06/28/2005,11.170000
06/29/2005,10.930000
06/30/2005,10.260000
07/01/2005,9.930000
07/05/2005,11.260000
07/06/2005,11.280000
07/07/2005,11.500000
07/08/2005,10.450000
07/11/2005,11.220000
07/12/2005,10.360000
07/13/2005,10.630000
07/14/2005,10.240000
07/15/2005,10.300000
07/18/2005,10.700000
07/19/2005,10.970000
07/20/2005,10.100000
07/21/2005,10.500000
07/22/2005,10.500000
07/25/2005,10.850000
07/26/2005,10.500000
07/27/2005,8.940000
07/28/2005,12.360000
07/29/2005,9.960000
08/01/2005,11.100000
08/02/2005,11.430000
08/03/2005,10.740000
08/04/2005,10.540000
08/05/2005,10.500000
08/08/2005,10.880000
08/09/2005,10.330000
08/10/2005,10.170000
08/11/2005,10.030000
08/12/2005,10.030000
08/15/2005,10.510000
08/16/2005,9.240000
08/17/2005,10.460000
08/18/2005,10.310000
08/19/2005,10.500000
08/22/2005,10.440000
08/23/2005,10.250000
08/24/2005,10.360000
08/25/2005,10.190000
08/26/2005,9.130000
08/29/2005,10.480000
08/30/2005,10.290000
08/31/2005,10.400000
09/01/2005,10.640000
09/02/2005,8.390000
09/06/2005,10.590000
09/07/2005,10.830000
09/08/2005,10.640000
09/09/2005,10.190000
09/12/2005,10.130000
09/13/2005,10.050000
09/14/2005,10.500000
09/15/2005,10.390000
09/16/2005,10.250000
09/19/2005,11.250000
09/20/2005,10.500000
09/21/2005,10.200000
09/22/2005,10.160000
09/23/2005,10.690000
09/26/2005,10.680000
09/27/2005,10.750000
09/28/2005,9.850000
09/29/2005,10.530000
09/30/2005,10.750000
10/03/2005,10.970000
10/04/2005,10.800000
10/05/2005,10.690000
10/06/2005,10.660000
10/07/2005,9.830000
10/10/2005,9.510000
10/11/2005,10.750000
10/12/2005,10.550000
10/13/2005,11.290000
10/14/2005,11.010000
10/17/2005,9.860000
10/18/2005,10.450000
10/19/2005,10.200000
10/20/2005,10.060000
10/21/2005,9.610000
10/24/2005,8.540000
10/25/2005,10.400000
10/26/2005,10.400000
10/27/2005,10.430000
10/28/2005,10.460000
10/31/2005,10.640000
11/01/2005,10.360000
11/02/2005,10.380000
11/03/2005,10.500000
11/04/2005,10.350000
11/07/2005,10.250000
11/08/2005,10.360000
11/09/2005,10.180000
11/10/2005,10.850000
11/11/2005,9.800000
11/14/2005,11.100000
11/15/2005,9.900000
11/16/2005,10.340000
11/17/2005,10.310000
11/18/2005,10.260000
11/21/2005,8.450000
11/22/2005,9.910000
11/23/2005,8.720000
11/25/2005,8.710000
11/28/2005,9.660000
11/29/2005,10.020000
