This file was created using the 202606 CRSP database.
It contains value- and equally-weighted returns for  10 prior return portfolios.

The portfolios are constructed daily.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19261103,  -0.12,   0.61,  -0.07,   0.14,  -0.49,  -0.13,  -0.14,   0.46,   0.19,   1.26
19261104,   0.55,   1.47,   1.60,   0.61,   1.02,   0.59,   0.82,   0.45,   0.46,   0.40
19261105,  -0.92,  -0.72,  -0.27,  -0.36,   0.08,   0.20,  -0.15,   0.37,   0.25,   0.06
19261106,   1.00,   0.15,   0.43,   0.27,   0.55,   0.47,   0.12,   0.10,   0.36,  -0.62
19261108,  -0.14,   0.25,   1.82,  -0.07,   0.25,   0.42,   0.30,   1.15,   0.54,  -0.10
19261109,   1.09,   1.04,   0.32,   0.47,   0.29,  -0.17,   0.00,  -0.16,   0.08,   0.53
19261110,   2.08,  -1.09,  -0.32,  -0.59,  -1.08,  -1.29,  -0.36,  -0.62,  -0.47,  -0.66
19261111,   0.67,   1.27,   2.31,   0.29,   0.57,   0.91,   0.50,   0.58,   0.50,   0.56
19261112,  -0.58,  -0.57,   1.62,   0.56,   0.42,   0.50,   0.19,   0.36,   0.19,  -0.24
19261113,   0.28,   0.03,  -0.69,  -0.48,  -0.06,  -0.43,  -0.11,  -0.23,  -0.12,  -0.36
19261115,   2.48,   0.06,   0.08,   0.21,   0.52,   0.76,  -0.01,   0.57,   0.33,   0.31
19261116,  -0.18,   0.67,   0.06,   0.89,   0.09,  -0.31,   0.70,  -0.14,   0.00,   0.43
19261117,  -2.73,   0.16,  -0.55,   0.04,  -0.21,  -0.32,  -0.52,  -0.51,  -0.14,  -0.34
19261118,  -2.14,  -0.84,  -0.56,  -0.77,  -0.30,  -1.01,  -0.21,  -0.41,  -0.33,  -0.37
19261119,  -0.25,  -0.95,  -0.57,  -0.50,  -0.10,  -1.16,  -0.81,  -0.61,  -0.36,  -0.86
19261120,   1.69,   1.01,   0.88,   0.47,   0.03,   0.79,   0.47,   0.32,   0.52,  -0.05
19261122,   0.35,   1.63,   0.56,   0.59,   0.42,   0.75,   0.45,   0.46,   0.63,   0.81
19261123,   0.04,  -0.01,   0.52,   0.10,   0.68,   0.40,   0.37,   0.22,   0.62,   0.75
19261124,   1.53,   0.62,   0.06,  -0.07,   0.44,   0.02,   0.12,   0.12,   0.29,  -0.72
19261126,   0.00,   0.95,   0.11,   0.24,  -0.04,  -0.23,   0.32,   0.24,   0.51,   0.10
19261127,   0.18,  -0.39,  -0.64,  -0.87,   0.15,   0.08,  -0.26,  -0.10,  -0.14,   0.00
19261129,  -1.87,  -0.44,  -0.47,  -0.55,  -0.10,  -0.06,  -0.21,  -0.10,  -0.56,  -0.71
19261130,   1.12,   0.19,  -0.19,   1.54,   0.35,   0.38,   0.50,  -0.03,   0.36,   0.29
19261201,   0.91,   0.05,   0.55,   0.76,   0.65,   0.62,   0.28,   0.10,   0.30,   0.63
19261202,   0.64,   0.54,   1.39,   0.46,   0.97,   0.37,   0.25,   0.61,   0.46,   0.52
19261203,   1.36,   0.85,   1.66,   0.31,   0.30,  -0.46,   0.18,   0.07,   0.17,   1.31
19261204,   0.09,  -0.10,  -0.41,  -0.45,  -0.42,  -0.16,   0.15,  -0.09,  -0.30,  -0.19
19261206,  -0.88,  -0.06,   0.06,  -0.33,   0.14,   0.22,   0.07,   0.10,   0.08,   0.02
19261207,   2.45,  -0.56,  -0.77,   0.01,  -0.08,  -0.44,  -0.38,   0.07,  -0.06,   0.42
19261208,   0.46,   0.36,   0.07,   0.20,  -0.39,  -0.56,   0.32,   0.02,  -0.02,  -0.03
19261209,   1.18,   0.51,   0.51,   0.60,   0.63,   0.53,   0.30,   0.44,   0.47,   0.32
19261210,  -0.04,   0.17,   0.63,   0.54,   0.72,   0.41,   0.27,   0.23,   0.43,   0.37
19261211,  -0.09,   0.29,   0.62,   0.07,   0.56,   0.27,   0.13,   0.07,  -0.11,  -0.21
19261213,   1.45,   0.43,   2.14,   0.52,   0.11,   0.21,   0.01,   0.33,   0.09,   1.43
19261214,  -0.31,   0.60,  -0.58,  -0.23,  -0.05,   0.09,  -0.12,   0.21,   0.28,   0.40
19261215,  -0.67,   0.09,   0.02,   0.40,   0.03,   0.55,   0.26,   0.05,   0.21,  -0.09
19261216,  -1.93,  -1.02,  -0.49,  -1.09,  -0.33,  -0.84,  -0.25,  -0.42,  -0.46,  -1.10
19261217,   0.60,   0.21,   0.92,   1.03,   0.61,   0.47,   1.04,   1.45,   1.21,   0.46
19261218,   0.76,   0.80,   0.47,   0.05,   0.31,   0.32,   0.31,   0.44,   0.45,   0.84
19261220,  -1.03,  -0.73,  -0.75,  -0.25,  -0.11,  -0.39,  -0.04,  -0.32,  -0.41,  -0.41
19261221,   0.53,  -0.15,  -0.69,  -0.48,  -0.08,   0.17,   0.10,  -0.11,  -0.20,   0.54
19261222,   2.70,  -0.40,   0.15,  -0.70,   0.25,  -0.08,  -0.33,  -0.08,  -0.16,   0.28
19261223,   1.16,  -0.13,  -0.09,   0.40,   0.00,   0.37,   0.25,   0.00,   0.78,   0.54
19261224,  -0.54,  -0.05,   0.56,   0.39,   0.54,   0.00,   0.14,  -0.16,   0.23,   1.48
19261227,   0.41,  -0.63,  -0.49,   0.03,  -0.44,  -0.27,  -0.17,  -0.19,  -0.33,   0.00
19261228,  -2.10,  -1.91,  -1.48,  -1.31,  -1.23,  -1.16,  -0.56,  -1.21,  -0.89,  -1.51
19261229,   3.04,   0.25,   0.60,   0.66,   0.14,   0.41,   0.26,   0.60,   0.47,   0.82
19261230,   0.19,   0.28,  -0.95,   0.38,  -0.64,  -0.69,  -0.25,  -0.07,  -0.13,  -0.81
19261231,   1.34,   0.52,   0.97,   0.23,   0.52,   0.34,   0.54,   0.55,   0.30,  -0.55
19270103,  -0.05,  -2.09,  -0.97,  -0.40,  -0.32,  -0.91,  -0.50,  -0.86,  -1.01,  -1.55
19270104,   1.48,   0.46,   0.59,  -0.02,  -0.03,   0.36,   0.32,   0.46,  -0.04,   1.05
19270105,   1.34,   1.12,   0.05,   0.30,   0.27,   0.23,   0.06,  -0.01,  -0.04,   0.13
19270106,  -1.04,   0.86,  -0.21,  -0.65,  -0.90,  -0.27,  -0.06,   0.00,  -0.08,  -0.12
19270107,  -0.69,   0.01,   0.07,   0.06,   0.11,   0.30,   0.35,   0.52,   0.45,   0.46
19270108,   1.16,   0.71,   0.67,  -0.12,   0.18,   1.15,   0.20,   0.13,   0.35,   0.56
19270110,   0.26,   0.00,   0.63,   0.36,  -0.05,  -0.21,   0.22,   0.53,   0.31,   0.23
19270111,  -1.15,  -0.20,  -0.22,  -0.34,  -0.38,  -0.28,  -0.21,  -0.06,  -0.18,  -0.74
19270112,  -2.22,  -0.35,  -0.15,   0.33,  -0.10,   0.45,   0.01,  -0.03,   0.17,   0.09
19270113,  -0.01,  -0.35,  -0.22,   1.02,   0.01,  -0.25,  -0.11,  -0.13,  -0.05,  -0.47
19270114,  -0.71,  -0.81,  -0.45,   0.20,  -0.05,   0.19,  -0.03,   0.23,   0.37,  -0.38
19270115,   0.19,  -0.16,  -0.96,   0.01,   0.21,   0.17,   0.23,   0.24,   0.31,  -0.05
19270117,  -1.77,  -0.48,   0.82,   0.03,  -0.24,   0.16,   0.09,   0.14,  -0.18,  -0.74
19270118,   0.37,   0.73,  -0.52,   0.25,  -0.25,  -0.02,  -0.06,  -0.10,  -0.05,  -0.12
19270119,   1.68,   0.55,   1.54,   0.37,   0.60,   0.49,   0.27,   0.71,   0.59,   1.20
19270120,  -0.48,  -0.43,  -0.09,  -0.26,  -0.74,  -0.24,  -0.15,   0.07,  -0.15,   0.11
19270121,   0.20,   0.37,  -0.52,  -0.20,  -0.20,   0.20,   0.14,  -0.08,  -0.16,   0.22
