query,n,correct_checkpoint,correct_vs_later,correct_vs_mpnet,later_vs_mpnet,architecture_wins
2022-06-30,12,20211231,0.993,0.993,0.979,False
2022-10-31,14,20211231,0.8901,0.0418,0.0066,True
2022-12-31,14,20211231,0.9912,0.8022,0.7714,True
2023-04-30,14,20221231,0.9297,0.8549,0.8418,True
2023-10-31,16,20221231,0.9765,0.8735,0.8647,True
2024-03-31,17,20231231,0.9779,0.7402,0.7426,True
2024-04-30,18,20231231,0.9856,0.8328,0.7895,True
2024-05-31,18,20231231,0.9711,0.6801,0.6553,True
2024-06-30,18,20231231,0.9546,0.6656,0.5955,True
2024-09-30,18,20231231,0.9959,0.8369,0.8555,True
