as_of,n_universe_80,n_universe_95,n_loser_80,n_loser_95,loser_jaccard_80_vs_95,dropped_by_95,added_by_95,loser_fill_median,loser_fill_p90,loser_above_5pct_fill,loser_above_5pct_share
2014-01-31,2742,2712,275,272,0.9891,3,0,0.004,0.004,2,0.0073
2014-02-28,2749,2703,275,271,0.964,7,3,0.004,0.004,7,0.0255
2014-03-31,2740,2687,274,269,0.9674,7,2,0.004,0.004,7,0.0255
2014-04-30,2729,2696,273,270,0.9818,4,1,0.004,0.004,4,0.0147
2014-05-31,2862,2630,287,263,0.7857,45,21,0.004,0.1984,45,0.1568
2014-06-30,2856,2619,286,262,0.8389,36,12,0.004,0.1151,36,0.1259
2014-07-31,2787,2759,279,276,0.9892,3,0,0.004,0.0278,3,0.0108
2014-08-31,2799,2593,280,260,0.6168,74,54,0.004,0.0952,74,0.2643
2014-09-30,2795,2584,280,259,0.6687,64,43,0.004,0.1786,64,0.2286
2014-10-31,2632,2602,264,261,0.9886,3,0,0.004,0.004,2,0.0076
2014-11-30,2651,2605,266,261,0.9519,9,4,0.004,0.004,9,0.0338
2014-12-31,2657,2603,266,261,0.9304,12,7,0.004,0.004,13,0.0489
2015-01-31,2656,2600,266,260,0.9197,14,8,0.004,0.0159,14,0.0526
2015-02-28,2654,2488,266,249,0.711,52,35,0.004,0.0873,52,0.1955
2015-03-31,2736,2466,274,247,0.6916,61,34,0.004,0.1746,61,0.2226
2015-04-30,2603,2535,261,254,0.9732,7,0,0.004,0.004,7,0.0268
2015-05-31,2586,2539,259,254,0.9506,9,4,0.004,0.004,9,0.0347
2015-06-30,2742,2548,275,255,0.6772,61,41,0.004,0.1468,61,0.2218
2015-07-31,2740,2546,274,255,0.7344,50,31,0.004,0.0595,50,0.1825
2015-08-31,2733,2577,274,258,0.6522,64,48,0.004,0.1032,64,0.2336
2015-09-30,2767,2566,277,257,0.6687,63,43,0.004,0.1865,63,0.2274
2015-10-31,2636,2556,264,256,0.9476,11,3,0.004,0.004,11,0.0417
2015-11-30,2741,2587,275,259,0.7682,43,27,0.004,0.1627,43,0.1564
2015-12-31,2778,2585,278,259,0.7323,51,32,0.004,0.0754,51,0.1835
2016-01-31,2769,2735,277,274,0.9892,3,0,0.004,0.004,3,0.0108
2016-02-29,2779,2725,278,273,0.947,10,5,0.004,0.0079,10,0.036
2016-03-31,2772,2706,278,271,0.9399,12,5,0.004,0.0079,13,0.0468
2016-04-30,2756,2716,276,272,0.9712,6,2,0.004,0.0079,6,0.0217
2016-05-31,2893,2707,290,271,0.8039,40,21,0.004,0.1627,40,0.1379
2016-06-30,2885,2691,289,270,0.7859,43,24,0.004,0.0754,43,0.1488
2016-07-31,2876,2834,288,284,0.9589,8,4,0.004,0.0238,8,0.0278
2016-08-31,2891,2708,290,271,0.5583,89,70,0.004,0.1151,89,0.3069
2016-09-30,2884,2696,289,270,0.5791,84,65,0.004,0.1944,84,0.2907
2016-10-31,2758,2712,276,272,0.9855,4,0,0.004,0.004,4,0.0145
2016-11-30,2772,2705,278,271,0.9748,7,0,0.004,0.0079,7,0.0252
2016-12-31,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-01-31,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-02-28,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-03-31,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-04-30,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-05-31,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-06-30,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-07-31,2751,2692,276,270,0.957,9,3,0.004,0.0079,9,0.0326
2017-08-31,2739,2704,274,271,0.9746,5,2,0.004,0.0119,6,0.0219
2017-09-30,2730,2520,273,252,0.8041,39,18,0.004,0.0913,39,0.1429
2017-10-31,2717,2508,272,251,0.7669,45,24,0.004,0.1786,45,0.1654
2017-11-30,2534,2493,254,250,0.9843,4,0,0.004,0.0067,0,0.0
2017-12-31,2654,2488,266,249,0.9361,17,0,0.004,0.0079,15,0.0564
2018-01-31,2639,2477,264,248,0.9321,17,1,0.004,0.0079,17,0.0644
2018-02-28,2630,2594,263,260,0.9886,3,0,0.004,0.0079,2,0.0076
2018-03-31,2638,2586,264,259,0.937,11,6,0.004,0.0079,11,0.0417
2018-04-30,2631,2571,264,258,0.9551,9,3,0.004,0.0079,9,0.0341
2018-05-31,2622,2580,263,258,0.981,5,0,0.004,0.0079,3,0.0114
2018-06-30,2834,2575,284,258,0.8373,37,11,0.004,0.131,37,0.1303
2018-07-31,2836,2586,284,259,0.8596,33,8,0.004,0.0873,33,0.1162
2018-08-31,2841,2682,285,269,0.6788,61,45,0.004,0.119,61,0.214
2018-09-30,2824,2672,283,268,0.6799,60,45,0.004,0.1865,60,0.212
2018-10-31,2719,2682,272,269,0.989,3,0,0.004,0.004,1,0.0037
2018-11-30,2729,2665,273,267,0.978,6,0,0.004,0.004,5,0.0183
2018-12-31,2719,2658,272,266,0.9707,7,1,0.004,0.004,7,0.0257
2019-01-31,2701,2669,271,267,0.9852,4,0,0.004,0.004,2,0.0074
2019-02-28,2718,2653,272,266,0.9635,8,2,0.004,0.004,8,0.0294
2019-03-31,2714,2665,272,267,0.9672,7,2,0.004,0.0079,13,0.0478
2019-04-30,2711,2643,272,265,0.8975,18,11,0.004,0.0079,18,0.0662
2019-05-31,2872,2640,288,264,0.6627,68,44,0.004,0.1468,68,0.2361
2019-06-30,2851,2648,286,265,0.7165,56,35,0.004,0.0675,57,0.1993
2019-07-31,2841,2812,285,282,0.9286,12,9,0.004,0.0119,12,0.0421
2019-08-31,2884,2690,289,269,0.5204,98,78,0.004,0.0992,100,0.346
2019-09-30,2878,2677,288,268,0.5618,88,68,0.004,0.1786,88,0.3056
2019-10-31,2756,2723,276,273,0.9468,9,6,0.004,0.006,9,0.0326
2019-11-30,2756,2702,276,271,0.9606,8,3,0.004,0.006,9,0.0326
2019-12-31,2751,2687,276,269,0.9464,11,4,0.004,0.0079,11,0.0399
2020-01-31,2737,2689,274,269,0.9532,9,4,0.004,0.0079,9,0.0328
2020-02-29,2727,2678,273,268,0.9531,9,4,0.004,0.0079,9,0.033
2020-03-31,2713,2667,272,267,0.9816,5,0,0.004,0.004,5,0.0184
2020-04-30,2704,2668,271,267,0.9852,4,0,0.004,0.0079,2,0.0074
2020-05-31,2773,2654,278,266,0.9088,19,7,0.004,0.0119,19,0.0683
2020-06-30,2783,2655,279,266,0.8858,23,10,0.004,0.0183,23,0.0824
2020-07-31,2777,2722,278,273,0.9401,11,6,0.0079,0.0278,12,0.0432
2020-08-31,2792,2610,280,261,0.5369,91,72,0.004,0.1071,91,0.325
2020-09-30,2780,2608,278,261,0.5312,91,74,0.004,0.1905,91,0.3273
2020-10-31,2658,2625,266,263,0.9887,3,0,0.004,0.0079,2,0.0075
2020-11-30,2671,2615,268,262,0.963,8,2,0.004,0.0079,8,0.0299
2020-12-31,2676,2615,268,262,0.9414,11,5,0.004,0.0079,11,0.041
2021-01-31,2667,2624,267,263,0.963,7,3,0.004,0.0079,7,0.0262
2021-02-28,2678,2619,268,262,0.9776,6,0,0.004,0.0079,5,0.0187
2021-03-31,2673,2613,268,262,0.9557,9,3,0.004,0.0079,9,0.0336
2021-04-30,2662,2632,267,264,0.974,5,2,0.004,0.0056,5,0.0187
2021-05-31,2716,2625,272,263,0.8772,22,13,0.004,0.0079,22,0.0809
2021-06-30,2711,2620,272,262,0.8869,21,11,0.004,0.0079,21,0.0772
2021-07-31,2721,2669,273,267,0.9636,8,2,0.004,0.0198,9,0.033
2021-08-31,2755,2334,276,234,0.5502,95,53,0.004,0.1111,95,0.3442
2021-09-30,2743,2380,275,238,0.6987,64,27,0.004,0.1944,65,0.2364
2021-10-31,2424,2376,243,238,0.9794,5,0,0.004,0.004,5,0.0206
2021-11-30,2446,2371,245,238,0.8941,17,10,0.004,0.0079,18,0.0735
2021-12-31,2451,2389,246,239,0.94,11,4,0.004,0.0079,11,0.0447
