definition,peak_at,trough_at,depth,window,trail_vol_at_peak,mkt_vol_at_peak,mkt_prior_2y,mkt_during,vol_std_depth,also_slow,lo_ret,hi_ret,factor_ret,loser_share,winner_share,retrace_20d,crash_days,sessions,leg_data,bear_state,route,formation_at,era
fast,1928-12-05,1928-12-17,-0.04926577722360603,10,0.07409804315904707,0.09705331842952006,0.7045375933958715,-0.06167726659177941,-3.3376352239681064,False,-0.049472415282176496,-0.12321810395984112,-0.051262319091436304,-0.6708516276580684,1.6708516276580683,1.3691191261603821,0,11,True,False,Route 2,1928-11-30,returns-only
fast,1930-01-17,1930-01-29,-0.05353806571957309,10,0.189249615635493,0.4959820743461678,0.047021001010822294,0.03766459759546836,-1.4201294729748553,False,0.23114793678188694,0.037897649619446305,-0.049184340821882944,1.1961065630272034,-0.1961065630272033,-0.49167001043872255,0,11,True,False,FITS-NONE,1929-12-31,returns-only
fast,1930-03-28,1930-04-09,-0.05366924094570591,10,0.14842055089263329,0.18009945858280224,0.27438793688779795,0.0438022383096639,-1.8152300992137087,True,0.18837270081817192,0.04176840908275614,-0.045436163341933566,1.2849057731416056,-0.28490577314160564,1.1703431592524827,0,11,True,False,FITS-NONE,1930-02-28,returns-only
fast,1930-07-07,1930-07-18,-0.06165510232182814,10,0.12978207706487344,0.22026157441468697,-0.11035252435851839,0.07500199240090177,-2.3848143308150336,False,0.10416304611511351,0.06667413262889332,-0.05067646701899342,2.77850266728591,-1.7785026672859099,1.266375550616709,0,11,True,True,Route 1,1930-06-30,returns-only
fast,1930-11-10,1930-11-21,-0.0848595516626185,10,0.12930351777539134,0.2337940505503241,-0.3972227852984057,0.07546617442918868,-3.2945087326570035,True,0.1612158969333457,0.06393947990996285,-0.07817902638975549,1.6572968234900487,-0.6572968234900487,2.630776451571414,0,11,True,True,Route 1,1930-10-31,returns-only
fast,1930-12-29,1931-01-10,-0.17204093364675366,10,0.17107265867301705,0.25164854279512394,-0.430157222339683,0.1043174902706554,-5.048373243031034,False,0.34389856534346386,0.05771293329961713,-0.1531634669338996,1.201662581337329,-0.20166258133732892,-0.04200626290026508,0,11,True,True,Route 1,1930-11-30,returns-only
slow,1930-12-29,1931-02-24,-0.2981149078857347,46,0.17107265867301705,0.25164854279512394,-0.430157222339683,0.23740669756779842,-4.078725180567352,True,0.8251463328237423,0.1297870661057532,-0.2821119277855296,1.186647496219231,-0.18664749621923113,0.167560803864405,0,47,True,True,Route 1,1930-11-30,returns-only
fast,1931-06-16,1931-06-27,-0.1346404489802966,10,0.19629891232968733,0.24922321597679944,-0.5382889714616835,0.12904367078451173,-3.4431657398249897,True,0.2687734420286825,0.05537036544049201,-0.1322174422374417,1.2594637637176227,-0.25946376371762275,0.6983529444192054,0,11,True,True,Route 1,1931-05-31,returns-only
fast,1931-10-05,1931-10-17,-0.07113993334863633,10,0.19193265750825697,0.32311553644309554,-0.5918483043973997,0.10201281070818569,-1.8606506874592268,False,0.20080899307822575,0.10881075109397864,-0.05339870607559527,2.1827481563464044,-1.1827481563464044,-0.4275499692859922,0,11,True,True,Route 1,1931-09-30,returns-only
slow,1931-10-05,1931-11-09,-0.11321842496596057,28,0.19193265750825697,0.32311553644309554,-0.5918483043973997,0.21587391965689195,-1.769658583939889,True,0.33620096706141234,0.1707815008443916,-0.09628089688281039,2.03241477408914,-1.0324147740891398,1.7379252915530718,0,29,True,True,Route 1,1931-09-30,returns-only
