date,group,filings,stated,rate,names,names_stated
2018-09-30,control,39,1,0.02564102564102564,20,1
2018-12-31,control,61,4,0.06557377049180328,22,1
2019-03-31,control,133,11,0.08270676691729323,38,7
2019-04-30,control,113,8,0.07079646017699115,31,6
2021-07-31,control,139,12,0.08633093525179857,56,11
2021-10-31,control,110,7,0.06363636363636363,52,5
2022-06-30,control,136,10,0.07352941176470588,50,7
2019-08-31,episode,92,11,0.11956521739130435,24,8
2020-02-29,episode,89,5,0.056179775280898875,29,5
2020-05-31,episode,207,70,0.33816425120772947,38,27
2020-10-31,episode,112,19,0.16964285714285715,36,9
2021-02-28,episode,188,28,0.14893617021276595,48,15
2022-10-31,episode,86,8,0.09302325581395349,45,6
