date,group,filings,stated,rate,names
2024-03-31,control,82,7,0.08536585365853659,30
2024-04-30,control,85,12,0.1411764705882353,30
2024-05-31,control,82,13,0.15853658536585366,32
2024-06-30,control,87,6,0.06896551724137931,32
2024-09-30,control,119,10,0.08403361344537816,63
2025-12-31,control,213,26,0.12206572769953052,84
2022-12-31,episode,110,11,0.1,46
2023-04-30,episode,52,8,0.15384615384615385,24
2023-10-31,episode,77,8,0.1038961038961039,31
2025-01-31,episode,330,23,0.0696969696969697,155
2025-07-31,episode,147,17,0.11564625850340136,58
2026-04-30,episode,191,24,0.1256544502617801,65
