date,group,filings,model_hits,keyword_hits,model_rate,keyword_rate
2018-09-30,control,39,1,11,0.02564102564102564,0.28205128205128205
2018-12-31,control,61,5,19,0.08196721311475409,0.3114754098360656
2019-03-31,control,133,11,64,0.08270676691729323,0.48120300751879697
2019-04-30,control,113,8,48,0.07079646017699115,0.4247787610619469
2019-08-31,control,92,11,33,0.11956521739130435,0.358695652173913
2020-02-29,control,89,7,35,0.07865168539325842,0.39325842696629215
2020-05-31,control,207,71,106,0.34299516908212563,0.5120772946859904
2020-10-31,episode,112,20,41,0.17857142857142858,0.36607142857142855
2021-01-31,episode,154,28,71,0.18181818181818182,0.461038961038961
2021-02-28,control,188,28,85,0.14893617021276595,0.4521276595744681
2021-03-31,episode,221,18,84,0.08144796380090498,0.38009049773755654
2021-06-30,episode,170,15,75,0.08823529411764706,0.4411764705882353
2021-07-31,control,139,12,55,0.08633093525179857,0.39568345323741005
2021-10-31,control,110,8,33,0.07272727272727272,0.3
2022-06-30,episode,136,11,48,0.08088235294117647,0.35294117647058826
2022-10-31,episode,86,8,35,0.09302325581395349,0.4069767441860465
2022-12-31,episode,110,12,43,0.10909090909090909,0.39090909090909093
2023-04-30,episode,52,8,23,0.15384615384615385,0.4423076923076923
2023-10-31,episode,77,8,40,0.1038961038961039,0.5194805194805194
2024-03-31,control,82,7,35,0.08536585365853659,0.4268292682926829
2024-04-30,control,85,13,45,0.15294117647058825,0.5294117647058824
2024-05-31,control,82,13,50,0.15853658536585366,0.6097560975609756
2024-06-30,control,87,9,47,0.10344827586206896,0.5402298850574713
2024-09-30,control,119,12,50,0.10084033613445378,0.42016806722689076
2025-01-31,episode,330,26,149,0.07878787878787878,0.45151515151515154
2025-07-31,episode,147,17,65,0.11564625850340136,0.4421768707482993
2025-12-31,control,213,26,92,0.12206572769953052,0.431924882629108
2026-04-30,episode,191,24,83,0.1256544502617801,0.43455497382198954
