asof,leg,n_cleanlegs,n_stored,jaccard,n_shared,n_cleanlegs_only,n_stored_only,top10_cleanlegs,top10_stored,top10_overlap,top10_identical,top10_cleanlegs_mv,top10_wp_vs_mv_overlap
2024-08-31,winners,250,253,0.6225806451612903,193,57,60,NVDA AVGO PGR C ANET KKR TT PLTR CEG SPOT,NVDA META LLY AVGO PGR ANET KKR TT CTAS MCK,6,False,NVDA AVGO PGR C ANET KKR TT PLTR CEG ALL,9
2024-08-31,losers,250,253,0.6600660066006601,200,50,53,LULU DXCM EL MDB APTV ALGN WBD ALB EXAS PAYC,SRE CPRT ODFL DXCM EL MDB ALGN ALB PAYC LW,6,False,LULU DXCM EL MDB APTV WBD ALGN EXAS ALB LW,9
2024-09-30,winners,250,253,0.7108843537414966,209,41,44,NVDA META AVGO LLY NFLX RTX PGR AXP KLAC ANET,NVDA META AVGO LLY COST NFLX PGR AXP KLAC ANET,9,False,NVDA META AVGO LLY NFLX RTX AXP PGR KLAC ANET,10
2024-09-30,losers,250,253,0.6993243243243243,207,43,46,INTC LULU EL WBD APTV GME ALB RIVN PAYC LW,INTC ODFL EL WBD DG ALGN GME ALB PAYC RIVN,7,False,INTC LULU EL WBD APTV ALB LW RIVN APA PAYC,9
2024-10-31,winners,250,252,0.6298701298701299,194,56,58,NVDA META AVGO ISRG ANET KKR PLTR CEG TT SPOT,NVDA META AVGO NFLX AXP PGR ANET KKR CEG PLTR,7,False,NVDA META AVGO ISRG ANET KKR TT PLTR CEG SPOT,10
2024-10-31,losers,250,252,0.7250859106529209,211,39,41,INTC SLB LULU SNOW HUM DXCM HAL DG EL MDB,INTC ODFL LULU HUM MRNA EL RIVN GME ALB PAYC,4,False,INTC SLB SNOW LULU HUM DXCM HAL MDB DG EL,10
2024-11-30,winners,249,252,0.6266233766233766,193,56,59,NVDA META AVGO PLTR KKR ANET TT APP CEG SPOT,NVDA META AVGO ISRG PLTR KKR ANET TT APP CEG,9,False,NVDA META AVGO PLTR KKR ANET TT APP CEG SPOT,10
2024-11-30,losers,249,252,0.6644518272425249,200,49,52,BA INTC SNOW LULU HUM DXCM MDB WBD DG EL,INTC NKE SLB ODFL HUM HAL DG EL DLTR GME,4,False,BA INTC SNOW LULU HUM DXCM WBD MDB DG EL,10
2024-12-31,winners,249,251,0.6611295681063123,199,50,52,NVDA WMT NFLX ORCL PLTR PGR FI ANET KKR APP,NVDA NFLX PLTR KKR APP APO SPOT CEG RCL DASH,5,False,NVDA WMT NFLX ORCL PLTR PGR FI ANET KKR APO,9
2024-12-31,losers,249,251,0.7006802721088435,206,43,45,BA INTC LULU DXCM HUM BIIB EL DLTR DG APTV,BA NKE INTC LULU ODFL HUM DXCM BIIB EL DLTR,8,False,BA INTC LULU HUM DXCM BIIB EL DG DLTR APTV,10
2025-01-31,winners,249,251,0.7123287671232876,208,41,43,NVDA TSLA AVGO WMT PLTR ANET KKR APP MRVL CEG,NVDA META TSLA AVGO WMT NFLX ORCL PLTR ANET KKR,7,False,NVDA TSLA AVGO WMT PLTR ANET KKR APP MRVL CEG,10
2025-01-31,losers,249,251,0.7482517482517482,214,35,37,INTC CVS NUE BIIB EL DLTR DG MDB MRNA GME,INTC CVS ODFL HUM BIIB EL DLTR DG MRNA ALB,7,False,INTC CVS NUE BIIB MDB EL DG DLTR SMCI MRNA,9
2025-02-28,winners,248,251,0.6045016077170418,188,60,63,NVDA AVGO TSLA WMT NFLX GS PLTR MS SPOT KKR,NVDA META AVGO TSLA WMT NFLX GS PLTR BSX GEV,7,False,NVDA AVGO TSLA WMT NFLX GS PLTR MS KKR SPOT,10
2025-02-28,losers,248,251,0.674496644295302,201,47,50,INTC SMCI DG DLTR EL MRNA GME VKTX CELH FIVE,PANW INTC ODFL SMCI BIIB DG DLTR EL MRNA SIRI,6,False,INTC SMCI EL DG DLTR MRNA GME ENPH WBA LW,7
2025-03-31,winners,249,250,0.674496644295302,201,48,49,AVGO TSLA NFLX WMT PM T PLTR GS BSX GILD,NVDA NFLX WMT PM T PLTR GS BSX GILD MS,8,False,AVGO TSLA NFLX WMT PM T PLTR GS BSX GILD,10
2025-03-31,losers,249,250,0.7386759581881533,212,37,38,INTC DG SMCI EL DLTR MRNA ENPH GME CE CELH,AMD ODFL DG EL SMCI DLTR MRNA ENPH CELH CE,8,False,INTC DG SMCI DLTR EL MRNA GME ENPH WBA LW,8
2025-04-30,winners,247,249,0.7044673539518901,205,42,44,TSLA NFLX WMT PM PLTR IBM T GILD TMUS GEV,TSLA NFLX WMT PM PLTR T BSX GILD TMUS FI,8,False,TSLA NFLX WMT PM PLTR IBM T GILD TMUS GEV,10
2025-04-30,losers,247,249,0.67003367003367,199,48,50,MCHP DXCM SMCI EL MRNA GME MDB VKTX CE ELF,SMCI EL MRNA VKTX ELF CE CLF OLN MTH SRRK,6,False,DXCM MCHP SMCI EL MDB GME MRNA CELH SRPT CE,8
2025-05-31,winners,247,254,0.6426229508196721,196,51,58,AVGO TSLA NFLX WMT PM PLTR IBM NOW T BSX,AVGO TSLA NFLX WMT PM PLTR IBM T BKNG GILD,8,False,AVGO TSLA NFLX WMT PM PLTR IBM NOW T BSX,10
2025-05-31,losers,247,254,0.6480263157894737,197,50,57,MCHP SMCI FSLR EL MRNA CE ELF ENPH WFRD ANF,MCHP SMCI EL MRNA MDB CE WFRD ELF ENPH MTH,8,False,MCHP SMCI FSLR EL MRNA AES CELH ALB ELF CE,7
2025-06-30,winners,250,254,0.68561872909699,205,45,49,AVGO TSLA NFLX WMT PLTR PM IBM GE T GEV,AVGO TSLA NFLX WMT PLTR PM IBM GE T BKNG,9,False,AVGO TSLA NFLX WMT PLTR PM IBM GE T GEV,10
2025-06-30,losers,250,254,0.696969696969697,207,43,47,REGN SMCI DOW MRNA ENTG TER WFRD CLF CE ENPH,SMCI DOW MRNA ENPH CLF CE MTH WFRD ONTO ANF,7,False,REGN SMCI DOW TER ENTG MRNA ELF CE CHRD ENPH,8
2025-07-31,winners,244,247,0.6151315789473685,187,57,60,META AVGO NFLX WMT ORCL PLTR GE CSCO PM IBM,AVGO NFLX PLTR GE PM IBM GEV GILD COF MSTR,6,False,META AVGO NFLX WMT ORCL PLTR GE CSCO PM IBM,10
2025-07-31,losers,244,248,0.6791808873720137,199,45,49,UNH REGN DOW MRNA ENPH CE WFRD VKTX GLOB AAP,PANW REGN SMCI DOW BIIB MRNA ENPH PCVX WFRD CE,6,False,UNH REGN DOW MRNA AVTR CE TFX CLF ONTO ENPH,6
2025-08-31,winners,244,248,0.6078431372549019,186,58,62,NVDA AVGO TSLA NFLX ORCL PLTR GE C GEV SCHW,NVDA META AVGO NFLX ORCL PLTR GE BKNG GEV SCHW,8,False,NVDA AVGO TSLA NFLX ORCL PLTR GE C GEV SCHW,10
2025-08-31,losers,244,248,0.6510067114093959,194,50,54,UNH ELV REGN DOW EIX CNC MOH ENPH MRNA CE,UNH PANW ELV REGN DOW CNC MOH ALGN MRNA ENPH,8,False,UNH ELV REGN EIX DOW CNC MOH AVTR MRNA TFX,8
2025-09-30,winners,245,247,0.7202797202797203,206,39,41,AVGO NFLX PLTR GS C APP GEV SCHW BA APH,AVGO TSLA NFLX ORCL PLTR GE C APP GEV APH,7,False,AVGO NFLX PLTR GS C APP GEV SCHW BA APH,10
2025-09-30,losers,245,247,0.7202797202797203,206,39,41,UNH ELV REGN TGT CNC DOW IT TTD FTV MOH,UNH PANW ELV REGN CNC DOW IT TTD MOH LYB,8,False,UNH ELV REGN TGT TTD IT CNC FTV DOW COO,9
2025-10-31,winners,244,246,0.7253521126760564,206,38,40,AVGO TSLA NFLX PLTR ORCL GE MU LRCX C INTC,AVGO TSLA NFLX PLTR ORCL GE MU LRCX INTC APH,9,False,AVGO TSLA NFLX PLTR ORCL GE MU LRCX C INTC,10
2025-10-31,losers,244,246,0.7253521126760564,206,38,40,UNH UPS TGT TTD DOW IT CNC STZ LULU BAH,UNH REGN TGT DOW TTD CNC IT STZ LYB IFF,7,False,UNH UPS TGT TTD STZ IT LULU CNC DOW IFF,9
2025-11-30,winners,243,247,0.6065573770491803,185,58,62,NVDA AVGO GOOGL GOOG PLTR AMD ORCL GE MU RTX,AVGO GOOGL GOOG TSLA PLTR AMD ORCL GE MU LRCX,8,False,NVDA GOOGL AVGO GOOG PLTR AMD ORCL GE MU RTX,10
2025-11-30,losers,243,247,0.5806451612903226,180,63,67,UNH OKE KVUE ODFL TTD IT CNC LULU DOW STZ,PANW FAST TTD IT DOW STZ LULU BAH DECK LYB,5,False,UNH OKE KVUE ODFL CNC STZ LULU TTD IT DOW,10
2025-12-31,winners,244,246,0.6838487972508591,199,45,47,GOOGL AVGO GOOG PLTR AMD MU GE CAT LRCX GEV,GOOGL AVGO GOOG PLTR AMD MU GE LRCX GEV APH,9,False,GOOGL AVGO GOOG PLTR AMD GE MU CAT LRCX GEV,10
2025-12-31,losers,244,246,0.6610169491525424,195,49,51,CMG MSTR TEAM TTD IT LULU HUBS CHTR DOW STZ,UNH PANW FAST CMG MSTR TTD IT DD CHTR HUBS,6,False,CMG MSTR TEAM LULU HUBS STZ IT CHTR TTD DOW,10
2026-01-31,winners,243,244,0.6793103448275862,197,46,47,GOOGL AVGO MU AMD PLTR LRCX INTC GEV KLAC APH,GOOGL GOOG MU AMD PLTR GE CAT LRCX RTX AMAT,5,False,GOOGL AVGO MU AMD PLTR LRCX INTC GEV KLAC APH,10
2026-01-31,losers,243,245,0.6944444444444444,200,43,45,UNH MSTR DECK LULU TTD IT HUBS LYB BAX GDDY,CMG FAST MSTR DECK DD LULU DOW CHTR TTD IT,5,False,UNH MSTR LULU DECK IT HUBS GDDY TTD LYB BLDR,9
2026-02-28,winners,241,243,0.686411149825784,197,44,46,GOOGL GOOG MU CAT AMD AMAT PLTR LRCX GEV KLAC,GOOGL GOOG MU AMD PLTR AMAT LRCX GEV INTC KLAC,9,False,GOOGL GOOG MU CAT AMD PLTR AMAT LRCX GEV INTC,9
2026-02-28,losers,241,243,0.704225352112676,200,41,43,UNH ADBE ROP MSTR CHTR LULU HPQ BRO FTV HUBS,UNH NOW FAST MSTR LULU DECK CHTR HPQ DD TTD,5,False,UNH ADBE ROP MSTR BRO CHTR LULU FTV HPQ LYB,9
2026-03-31,winners,240,243,0.6655172413793103,193,47,50,GOOGL GOOG MU CAT AMD LRCX AMAT GEV KLAC INTC,MU CAT AMD LRCX AMAT GEV KLAC INTC APH NEM,8,False,GOOGL GOOG MU CAT AMD AMAT LRCX GEV INTC KLAC,10
2026-03-31,losers,240,243,0.6947368421052632,198,42,45,UNH INTU ACN AJG MSTR ROP PAYX CPRT WDAY CSGP,UNH ACN NOW ADBE FAST MSTR ROP PAYX WDAY LULU,6,False,UNH ACN INTU AJG MSTR ROP PAYX CPRT WDAY BRO,9
2026-04-30,winners,239,242,0.6701388888888888,193,46,49,MU AMD CAT INTC LRCX AMAT GEV KLAC WDC GLW,MU AMD CAT INTC LRCX AMAT GEV KLAC APH SNDK,8,False,MU AMD INTC CAT LRCX AMAT GEV KLAC WDC GLW,10
2026-04-30,losers,239,242,0.6818181818181818,195,44,47,NOW BSX MSTR CMG ROP WDAY CNC CPRT FICO BRO,UNH MSTR FAST ROP CNC WDAY CPRT PAYX BRO FICO,7,False,NOW BSX MSTR CMG ROP CPRT CNC WDAY FIS FICO,9
2026-05-31,winners,237,244,0.6759581881533101,194,43,50,GOOGL GOOG MU AMD INTC CAT LRCX AMAT GEV KLAC,GOOGL GOOG MU AMD INTC CAT LRCX AMAT GEV KLAC,10,True,GOOGL GOOG MU AMD INTC CAT LRCX AMAT GEV KLAC,10
2026-05-31,losers,237,244,0.6529209621993127,190,47,54,NOW ACN ADBE INTU BSX MSTR AJG AXON ROP WDAY,NOW ACN ADBE INTU BSX MSTR FAST CMG ROP AXON,8,False,NOW ACN ADBE INTU BSX AJG MSTR ROP AXON WDAY,10
2026-06-30,winners,236,239,0.7272727272727273,200,36,39,GOOGL GOOG AMD INTC AMAT LRCX CAT KLAC MRVL GLW,GOOGL MU AMD INTC AMAT LRCX CAT KLAC SNDK MRVL,8,False,GOOGL GOOG AMD INTC AMAT LRCX CAT KLAC MRVL GLW,10
