asof,z_12-1,arg_12-1,z_6-1,arg_6-1,z_24-13,arg_24-13
2014-01-31,11.857932675040841,d10y,7.660317341393085,d10y,8.959029198235902,ig
2014-02-28,13.235641378402025,pc2,4.377289885769457,mkt,8.26682948601576,ig
2014-03-31,10.62459712801588,d10y,2.4709194404086086,usd,10.145416334908074,ig
2014-04-30,16.23797362181498,d10y,3.8801809033769534,usd,11.53132412948106,ig
2014-05-31,6.133316834476079,d10y,3.6575794884845223,usd,6.107205181360032,ig
2014-06-30,4.199460782919211,mkt,4.965888785850498,pc2,3.6133550416068863,usd
2014-07-31,9.895538926364672,wti,14.270068757867882,wti,5.682447590991572,wti
2014-08-31,6.351250857525706,wti,14.791664399981984,concentration,5.299089982905754,mkt
2014-09-30,3.677572891249932,wti,6.964140346819873,wti,7.77723186068254,mkt
2014-10-31,6.3630617694606295,usd,12.854676247348802,usd,11.965920758729673,usd
2014-11-30,13.876229497558649,wti,29.835362305293806,wti,10.802463526213769,d10y
2014-12-31,18.64859037234567,usd,36.4218072525914,usd,15.411690068876515,usd
2015-01-31,20.896586452707965,pc1,33.114379139021025,usd,16.371558055390963,pc2
2015-02-28,34.730566376183646,pc1,37.68876166952633,usd,17.119762408459977,mkt
2015-03-31,31.832359198709657,pc1,32.47865411912821,pc1,15.673779491464979,mkt
2015-04-30,31.364320095272433,pc1,27.022102153241722,pc1,20.768435159245183,d10y
2015-05-31,24.364909657084855,pc1,16.852905771035648,ig,14.90290462485746,mkt
2015-06-30,25.85716037314912,pc1,11.027783420766987,ig,14.814650069811433,mkt
2015-07-31,28.438334788802717,wti,21.036442486310385,d10y,15.293547867511872,mkt
2015-08-31,29.242768247947172,wti,16.31748980161659,usd,10.276431742736872,ig
2015-09-30,22.43152057437001,wti,12.14544140109242,wti,5.899665384843391,mkt
2015-10-31,24.276574479026404,wti,29.46041623158746,pc1,4.411537853306819,usd
2015-11-30,18.834956562316787,pc1,26.476466020260503,pc1,10.40941462889361,wti
2015-12-31,20.777061252946268,pc1,22.652243350892995,pc1,15.60870790928381,wti
2016-01-31,22.696285666667386,pc1,21.44232662071266,pc1,16.283839966560347,wti
2016-02-29,29.79571236388711,concentration,33.45898439887377,concentration,18.504142708833548,d10y
2016-03-31,36.99933906721792,concentration,27.147510717347533,concentration,19.09041306641587,usd
2016-04-30,46.26961817291632,concentration,29.274662947976918,concentration,19.6831180381382,usd
2016-05-31,45.02899378370766,concentration,26.07867474589867,pc2,20.3215899022572,usd
2016-06-30,33.20719533518686,pc2,19.387121695605902,pc2,27.614220472483716,usd
